loan_id,customer_id,branch_id,loan_type,principal,outstanding,interest_rate,emi,tenure_months,disbursed_date,status,dpd
LN00000001,CUST0009554,BR0006,HomeLoan,61646.64,26960.82,16.09,863.18,120,2021-12-31,Restructured,0
LN00000002,CUST0006703,BR0043,PersonalLoan,239481.68,193373.44,12.24,5237.65,48,2025-08-16,Active,0
LN00000003,CUST0008430,BR0022,AutoLoan,101349.81,30423.67,9.28,15657.17,24,2025-07-17,Active,0
LN00000004,CUST0000063,BR0037,AutoLoan,35701.31,66205.48,8.93,2470.75,84,2022-11-23,Active,0
LN00000005,CUST0007184,BR0006,PersonalLoan,59838.11,14791.8,13.25,22102.42,60,2022-11-15,Closed,0
LN00000006,CUST0007314,BR0014,EducationLoan,52193.33,175610.48,14.1,3956.19,12,2023-01-28,Closed,0
LN00000007,CUST0007996,BR0044,HomeLoan,426047.54,193124.32,13.86,4533.73,180,2022-08-31,Closed,0
LN00000008,CUST0005430,BR0039,HomeLoan,74485.28,56891.8,15.91,5604.49,36,2020-04-05,Active,0
LN00000009,CUST0004893,BR0048,EducationLoan,1984737.0,20690.21,13.34,2496.16,120,2026-02-21,Active,0
LN00000010,CUST0006628,BR0034,HomeLoan,43351.91,150949.91,13.96,10986.16,60,2022-04-11,Closed,0
LN00000011,CUST0002002,BR0018,HomeLoan,168001.83,5953.41,13.87,2168.87,84,2019-07-01,Active,0
LN00000012,CUST0005328,BR0019,HomeLoan,30593.15,1658914.15,6.66,2215.75,12,2024-07-21,Active,0
LN00000013,CUST0005359,BR0020,AutoLoan,548486.86,102154.57,15.28,11294.39,120,2024-10-13,Closed,145
LN00000014,CUST0003164,BR0030,HomeLoan,117122.61,45146.65,12.61,5058.11,180,2025-10-16,Active,0
LN00000015,CUST0007326,BR0005,HomeLoan,33059.76,165277.23,12.46,17258.96,240,2022-09-21,Active,0
LN00000016,CUST0004870,BR0032,HomeLoan,677019.26,1775681.26,9.3,2622.24,240,2024-12-01,Active,10
LN00000017,CUST0006902,BR0001,HomeLoan,140565.41,269823.51,13.12,5109.28,240,2022-11-15,Closed,0
LN00000018,CUST0005810,BR0011,PersonalLoan,14515.57,36114.31,11.34,4202.3,120,2023-07-10,Active,0
LN00000019,CUST0007387,BR0002,PersonalLoan,345864.28,196654.45,10.05,19187.37,24,2024-09-03,Active,0
LN00000020,CUST0008582,BR0003,PersonalLoan,168393.42,76314.41,10.79,2382.98,24,2020-01-05,Active,0
LN00000021,CUST0002763,BR0012,AutoLoan,117206.06,31959.35,10.68,17578.25,36,2021-02-27,Active,0
LN00000022,CUST0000008,BR0046,GoldLoan,98197.8,7391.28,14.91,5933.98,84,2025-04-19,Active,0
LN00000023,CUST0001166,BR0006,HomeLoan,36395.38,724458.0,10.19,10039.16,24,2022-06-11,Closed,0
LN00000024,CUST0002394,BR0001,PersonalLoan,115327.9,185383.68,13.84,5407.86,180,2023-07-29,Active,0
LN00000025,CUST0001147,BR0025,AutoLoan,505128.81,23898.19,15.95,15217.46,48,2025-01-12,Active,0
LN00000026,CUST0007767,BR0050,HomeLoan,35660.63,235336.14,15.1,3383.9,180,2025-06-29,NPA,0
LN00000027,CUST0003487,BR0040,EducationLoan,645144.49,360216.14,9.2,16336.12,84,2022-07-20,Closed,0
LN00000028,CUST0002620,BR0050,AutoLoan,89241.96,28605.92,15.04,823.95,240,2023-07-11,Active,0
LN00000029,CUST0006746,BR0002,AutoLoan,200059.04,21787.09,12.79,1521.89,240,2023-11-21,Closed,0
LN00000030,CUST0008781,BR0006,HomeLoan,26892.83,175607.15,15.18,4174.75,240,2023-02-05,NPA,0
LN00000031,CUST0009494,BR0048,HomeLoan,218410.47,339029.0,10.78,21293.22,48,2025-06-27,Closed,0
LN00000032,CUST0001927,BR0043,PersonalLoan,348318.27,119429.15,12.68,11154.93,12,2023-04-29,Active,0
LN00000033,CUST0000948,BR0041,HomeLoan,153625.21,20263.78,16.34,2042.0,240,2020-12-16,Active,0
